Activity standard occupational classification,Mode of employment,Sex,Contract marker,Nationality,Academic Year,Number
Associate professional and technical occupations,All,Male,Academic atypical,UK,2018/19,95
Associate professional and technical occupations,All,Male,Academic atypical,UK,2019/20,95
Associate professional and technical occupations,All,Male,Academic atypical,UK,2020/21,75
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),European Union,2016/17,0
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),European Union,2017/18,0
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),European Union,2018/19,0
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),European Union,2019/20,0
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),European Union,2020/21,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),Non-European Union,2016/17,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),Non-European Union,2017/18,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),Non-European Union,2018/19,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),Non-European Union,2019/20,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),Non-European Union,2020/21,0
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),Not known,2016/17,0
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),Not known,2017/18,0
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),Not known,2018/19,0
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),Not known,2019/20,0
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),Not known,2020/21,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),Not known,2016/17,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),Not known,2017/18,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),Not known,2018/19,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),Not known,2019/20,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),Not known,2020/21,0
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),UK,2016/17,5
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),UK,2017/18,5
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),UK,2018/19,0
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),UK,2019/20,0
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),UK,2020/21,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),UK,2016/17,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),UK,2017/18,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),UK,2018/19,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),UK,2019/20,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),UK,2020/21,0
Clerical and manual occupations,Full-time,Male,Academic (excluding atypical),UK,2016/17,0
Clerical and manual occupations,Full-time,Male,Academic (excluding atypical),UK,2017/18,0
Clerical and manual occupations,Full-time,Male,Academic (excluding atypical),UK,2018/19,0
Clerical and manual occupations,Full-time,Male,Academic (excluding atypical),UK,2019/20,0
Clerical and manual occupations,Full-time,Male,Academic (excluding atypical),UK,2020/21,5
Clerical and manual occupations,Part-time,Male,Academic (excluding atypical),UK,2016/17,0
Clerical and manual occupations,Part-time,Male,Academic (excluding atypical),UK,2017/18,0
Clerical and manual occupations,Part-time,Male,Academic (excluding atypical),UK,2018/19,0
Clerical and manual occupations,Part-time,Male,Academic (excluding atypical),UK,2019/20,0
Clerical and manual occupations,Part-time,Male,Academic (excluding atypical),UK,2020/21,0
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),All,2016/17,5
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),All,2017/18,5
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),All,2018/19,0
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),All,2019/20,0
Clerical and manual occupations,Full-time,Female,Academic (excluding atypical),All,2020/21,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),All,2016/17,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),All,2017/18,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),All,2018/19,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),All,2019/20,0
Clerical and manual occupations,Part-time,Female,Academic (excluding atypical),All,2020/21,0
Clerical and manual occupations,Full-time,Male,Academic (excluding atypical),All,2016/17,0
Clerical and manual occupations,Full-time,Male,Academic (excluding atypical),All,2017/18,0
Clerical and manual occupations,Full-time,Male,Academic (excluding atypical),All,2018/19,0
Clerical and manual occupations,Full-time,Male,Academic (excluding atypical),All,2019/20,0
Clerical and manual occupations,Full-time,Male,Academic (excluding atypical),All,2020/21,5
Clerical and manual occupations,Part-time,Male,Academic (excluding atypical),All,2016/17,0
Clerical and manual occupations,Part-time,Male,Academic (excluding atypical),All,2017/18,0
Clerical and manual occupations,Part-time,Male,Academic (excluding atypical),All,2018/19,0
Clerical and manual occupations,Part-time,Male,Academic (excluding atypical),All,2019/20,0
Clerical and manual occupations,Part-time,Male,Academic (excluding atypical),All,2020/21,0
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),All,2016/17,10
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),All,2017/18,5
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),All,2018/19,0
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),All,2019/20,0
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),All,2020/21,5
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),European Union,2016/17,0
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),European Union,2017/18,0
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),European Union,2018/19,0
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),European Union,2019/20,0
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),European Union,2020/21,0
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),Not known,2016/17,0
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),Not known,2017/18,0
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),Not known,2018/19,0
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),Not known,2019/20,0
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),Not known,2020/21,0
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),UK,2016/17,5
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),UK,2017/18,5
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),UK,2018/19,0
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),UK,2019/20,0
Clerical and manual occupations,Full-time,All,Academic (excluding atypical),UK,2020/21,5
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),All,2016/17,0
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),All,2017/18,0
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),All,2018/19,5
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),All,2019/20,5
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),All,2020/21,0
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),Non-European Union,2016/17,0
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),Non-European Union,2017/18,0
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),Non-European Union,2018/19,0
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),Non-European Union,2019/20,0
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),Non-European Union,2020/21,0
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),Not known,2016/17,0
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),Not known,2017/18,0
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),Not known,2018/19,0
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),Not known,2019/20,0
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),Not known,2020/21,0
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),UK,2016/17,0
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),UK,2017/18,0
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),UK,2018/19,0
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),UK,2019/20,5
Clerical and manual occupations,Part-time,All,Academic (excluding atypical),UK,2020/21,0
Clerical and manual occupations,All,All,Academic (excluding atypical),All,2016/17,10
Clerical and manual occupations,All,All,Academic (excluding atypical),All,2017/18,5
Clerical and manual occupations,All,All,Academic (excluding atypical),All,2018/19,5
Clerical and manual occupations,All,All,Academic (excluding atypical),All,2019/20,5
Clerical and manual occupations,All,All,Academic (excluding atypical),All,2020/21,5
Clerical and manual occupations,All,Female,Academic (excluding atypical),All,2016/17,10
Clerical and manual occupations,All,Female,Academic (excluding atypical),All,2017/18,5
Clerical and manual occupations,All,Female,Academic (excluding atypical),All,2018/19,5
Clerical and manual occupations,All,Female,Academic (excluding atypical),All,2019/20,0
Clerical and manual occupations,All,Female,Academic (excluding atypical),All,2020/21,0
Clerical and manual occupations,All,Male,Academic (excluding atypical),All,2016/17,0
Clerical and manual occupations,All,Male,Academic (excluding atypical),All,2017/18,0
Clerical and manual occupations,All,Male,Academic (excluding atypical),All,2018/19,0
Clerical and manual occupations,All,Male,Academic (excluding atypical),All,2019/20,5
Clerical and manual occupations,All,Male,Academic (excluding atypical),All,2020/21,5
Clerical and manual occupations,All,All,Academic (excluding atypical),European Union,2016/17,0
Clerical and manual occupations,All,All,Academic (excluding atypical),European Union,2017/18,0
Clerical and manual occupations,All,All,Academic (excluding atypical),European Union,2018/19,0
Clerical and manual occupations,All,All,Academic (excluding atypical),European Union,2019/20,0
Clerical and manual occupations,All,All,Academic (excluding atypical),European Union,2020/21,0
Clerical and manual occupations,All,Female,Academic (excluding atypical),European Union,2016/17,0
Clerical and manual occupations,All,Female,Academic (excluding atypical),European Union,2017/18,0
Clerical and manual occupations,All,Female,Academic (excluding atypical),European Union,2018/19,0
Clerical and manual occupations,All,Female,Academic (excluding atypical),European Union,2019/20,0
Clerical and manual occupations,All,Female,Academic (excluding atypical),European Union,2020/21,0
Clerical and manual occupations,All,All,Academic (excluding atypical),Non-European Union,2016/17,0
Clerical and manual occupations,All,All,Academic (excluding atypical),Non-European Union,2017/18,0
Clerical and manual occupations,All,All,Academic (excluding atypical),Non-European Union,2018/19,0
Clerical and manual occupations,All,All,Academic (excluding atypical),Non-European Union,2019/20,0
Clerical and manual occupations,All,All,Academic (excluding atypical),Non-European Union,2020/21,0
Clerical and manual occupations,All,Female,Academic (excluding atypical),Non-European Union,2016/17,0
Clerical and manual occupations,All,Female,Academic (excluding atypical),Non-European Union,2017/18,0
Clerical and manual occupations,All,Female,Academic (excluding atypical),Non-European Union,2018/19,0
Clerical and manual occupations,All,Female,Academic (excluding atypical),Non-European Union,2019/20,0
Clerical and manual occupations,All,Female,Academic (excluding atypical),Non-European Union,2020/21,0
Clerical and manual occupations,All,All,Academic (excluding atypical),Not known,2016/17,0
Clerical and manual occupations,All,All,Academic (excluding atypical),Not known,2017/18,0
Clerical and manual occupations,All,All,Academic (excluding atypical),Not known,2018/19,0
Clerical and manual occupations,All,All,Academic (excluding atypical),Not known,2019/20,0
Clerical and manual occupations,All,All,Academic (excluding atypical),Not known,2020/21,0
Clerical and manual occupations,All,Female,Academic (excluding atypical),Not known,2016/17,0
Clerical and manual occupations,All,Female,Academic (excluding atypical),Not known,2017/18,0
Clerical and manual occupations,All,Female,Academic (excluding atypical),Not known,2018/19,0
Clerical and manual occupations,All,Female,Academic (excluding atypical),Not known,2019/20,0
Clerical and manual occupations,All,Female,Academic (excluding atypical),Not known,2020/21,0
Clerical and manual occupations,All,All,Academic (excluding atypical),UK,2016/17,10
Clerical and manual occupations,All,All,Academic (excluding atypical),UK,2017/18,5
Clerical and manual occupations,All,All,Academic (excluding atypical),UK,2018/19,5
Clerical and manual occupations,All,All,Academic (excluding atypical),UK,2019/20,5
Clerical and manual occupations,All,All,Academic (excluding atypical),UK,2020/21,5
Clerical and manual occupations,All,Female,Academic (excluding atypical),UK,2016/17,5
Clerical and manual occupations,All,Female,Academic (excluding atypical),UK,2017/18,5
Clerical and manual occupations,All,Female,Academic (excluding atypical),UK,2018/19,0
Clerical and manual occupations,All,Female,Academic (excluding atypical),UK,2019/20,0
Clerical and manual occupations,All,Female,Academic (excluding atypical),UK,2020/21,0
Clerical and manual occupations,All,Male,Academic (excluding atypical),UK,2016/17,0
Clerical and manual occupations,All,Male,Academic (excluding atypical),UK,2017/18,0
Clerical and manual occupations,All,Male,Academic (excluding atypical),UK,2018/19,0
Clerical and manual occupations,All,Male,Academic (excluding atypical),UK,2019/20,5
Clerical and manual occupations,All,Male,Academic (excluding atypical),UK,2020/21,5
Clerical and manual occupations,Part-time,Male,Academic atypical,European Union,2016/17,0
Clerical and manual occupations,Part-time,Male,Academic atypical,European Union,2017/18,0
Clerical and manual occupations,Part-time,Male,Academic atypical,European Union,2018/19,0
Clerical and manual occupations,Part-time,Male,Academic atypical,European Union,2019/20,0
Clerical and manual occupations,Part-time,Male,Academic atypical,European Union,2020/21,0
Clerical and manual occupations,Part-time,Female,Academic atypical,UK,2016/17,0
Clerical and manual occupations,Part-time,Female,Academic atypical,UK,2017/18,0
Clerical and manual occupations,Part-time,Female,Academic atypical,UK,2018/19,0
Clerical and manual occupations,Part-time,Female,Academic atypical,UK,2019/20,0
Clerical and manual occupations,Part-time,Female,Academic atypical,UK,2020/21,0
Clerical and manual occupations,Part-time,Male,Academic atypical,UK,2016/17,0
Clerical and manual occupations,Part-time,Male,Academic atypical,UK,2017/18,0
Clerical and manual occupations,Part-time,Male,Academic atypical,UK,2018/19,0
Clerical and manual occupations,Part-time,Male,Academic atypical,UK,2019/20,0
Clerical and manual occupations,Part-time,Male,Academic atypical,UK,2020/21,0
Clerical and manual occupations,Part-time,Female,Academic atypical,All,2016/17,0
Clerical and manual occupations,Part-time,Female,Academic atypical,All,2017/18,0
Clerical and manual occupations,Part-time,Female,Academic atypical,All,2018/19,0
Clerical and manual occupations,Part-time,Female,Academic atypical,All,2019/20,0
Clerical and manual occupations,Part-time,Female,Academic atypical,All,2020/21,0
Clerical and manual occupations,Part-time,Male,Academic atypical,All,2016/17,0
Clerical and manual occupations,Part-time,Male,Academic atypical,All,2017/18,0
Clerical and manual occupations,Part-time,Male,Academic atypical,All,2018/19,0
Clerical and manual occupations,Part-time,Male,Academic atypical,All,2019/20,0
Clerical and manual occupations,Part-time,Male,Academic atypical,All,2020/21,0
Clerical and manual occupations,Part-time,All,Academic atypical,All,2016/17,0
Clerical and manual occupations,Part-time,All,Academic atypical,All,2017/18,0
Clerical and manual occupations,Part-time,All,Academic atypical,All,2018/19,0
Clerical and manual occupations,Part-time,All,Academic atypical,All,2019/20,0
Clerical and manual occupations,Part-time,All,Academic atypical,All,2020/21,0
Clerical and manual occupations,Part-time,All,Academic atypical,European Union,2016/17,0
Clerical and manual occupations,Part-time,All,Academic atypical,European Union,2017/18,0
Clerical and manual occupations,Part-time,All,Academic atypical,European Union,2018/19,0
Clerical and manual occupations,Part-time,All,Academic atypical,European Union,2019/20,0
Clerical and manual occupations,Part-time,All,Academic atypical,European Union,2020/21,0
Clerical and manual occupations,Part-time,All,Academic atypical,UK,2016/17,0
Clerical and manual occupations,Part-time,All,Academic atypical,UK,2017/18,0
Clerical and manual occupations,Part-time,All,Academic atypical,UK,2018/19,0
Clerical and manual occupations,Part-time,All,Academic atypical,UK,2019/20,0
Clerical and manual occupations,Part-time,All,Academic atypical,UK,2020/21,0
Clerical and manual occupations,All,All,Academic atypical,All,2016/17,0
Clerical and manual occupations,All,All,Academic atypical,All,2017/18,0
Clerical and manual occupations,All,All,Academic atypical,All,2018/19,0
Clerical and manual occupations,All,All,Academic atypical,All,2019/20,0
Clerical and manual occupations,All,All,Academic atypical,All,2020/21,0
Clerical and manual occupations,All,Female,Academic atypical,All,2016/17,0
Clerical and manual occupations,All,Female,Academic atypical,All,2017/18,0
Clerical and manual occupations,All,Female,Academic atypical,All,2018/19,0
Clerical and manual occupations,All,Female,Academic atypical,All,2019/20,0
Clerical and manual occupations,All,Female,Academic atypical,All,2020/21,0
Clerical and manual occupations,All,Male,Academic atypical,All,2016/17,0
Clerical and manual occupations,All,Male,Academic atypical,All,2017/18,0
Clerical and manual occupations,All,Male,Academic atypical,All,2018/19,0
Clerical and manual occupations,All,Male,Academic atypical,All,2019/20,0
Clerical and manual occupations,All,Male,Academic atypical,All,2020/21,0
Clerical and manual occupations,All,All,Academic atypical,European Union,2016/17,0
Clerical and manual occupations,All,All,Academic atypical,European Union,2017/18,0
Clerical and manual occupations,All,All,Academic atypical,European Union,2018/19,0
Clerical and manual occupations,All,All,Academic atypical,European Union,2019/20,0
Clerical and manual occupations,All,All,Academic atypical,European Union,2020/21,0
Clerical and manual occupations,All,Male,Academic atypical,European Union,2016/17,0
Clerical and manual occupations,All,Male,Academic atypical,European Union,2017/18,0
Clerical and manual occupations,All,Male,Academic atypical,European Union,2018/19,0
Clerical and manual occupations,All,Male,Academic atypical,European Union,2019/20,0
Clerical and manual occupations,All,Male,Academic atypical,European Union,2020/21,0
Clerical and manual occupations,All,All,Academic atypical,UK,2016/17,0
Clerical and manual occupations,All,All,Academic atypical,UK,2017/18,0
Clerical and manual occupations,All,All,Academic atypical,UK,2018/19,0
Clerical and manual occupations,All,All,Academic atypical,UK,2019/20,0
Clerical and manual occupations,All,All,Academic atypical,UK,2020/21,0
Clerical and manual occupations,All,Female,Academic atypical,UK,2016/17,0
Clerical and manual occupations,All,Female,Academic atypical,UK,2017/18,0
Clerical and manual occupations,All,Female,Academic atypical,UK,2018/19,0
Clerical and manual occupations,All,Female,Academic atypical,UK,2019/20,0
Clerical and manual occupations,All,Female,Academic atypical,UK,2020/21,0
Clerical and manual occupations,All,Male,Academic atypical,UK,2016/17,0
Clerical and manual occupations,All,Male,Academic atypical,UK,2017/18,0
Clerical and manual occupations,All,Male,Academic atypical,UK,2018/19,0
Clerical and manual occupations,All,Male,Academic atypical,UK,2019/20,0
Clerical and manual occupations,All,Male,Academic atypical,UK,2020/21,0
Total academic staff,All,All,Academic (excluding atypical),All,2016/17,206870
Total academic staff,All,All,Academic (excluding atypical),All,2017/18,211980
Total academic staff,All,All,Academic (excluding atypical),All,2018/19,217065
Total academic staff,All,All,Academic (excluding atypical),All,2019/20,223525
Total academic staff,All,All,Academic (excluding atypical),All,2020/21,224530
Total academic staff,Full-time,All,Academic (excluding atypical),All,2016/17,138405
Total academic staff,Full-time,All,Academic (excluding atypical),All,2017/18,140725
Total academic staff,Full-time,All,Academic (excluding atypical),All,2018/19,143510
Total academic staff,Full-time,All,Academic (excluding atypical),All,2019/20,146780
Total academic staff,Full-time,All,Academic (excluding atypical),All,2020/21,149085
Total academic staff,Part-time,All,Academic (excluding atypical),All,2016/17,68465
Total academic staff,Part-time,All,Academic (excluding atypical),All,2017/18,71250
Total academic staff,Part-time,All,Academic (excluding atypical),All,2018/19,73555
Total academic staff,Part-time,All,Academic (excluding atypical),All,2019/20,76750
Total academic staff,Part-time,All,Academic (excluding atypical),All,2020/21,75445
Total academic staff,All,Female,Academic (excluding atypical),All,2016/17,94475
Total academic staff,All,Female,Academic (excluding atypical),All,2017/18,97200
Total academic staff,All,Female,Academic (excluding atypical),All,2018/19,100365
Total academic staff,All,Female,Academic (excluding atypical),All,2019/20,104305
Total academic staff,All,Female,Academic (excluding atypical),All,2020/21,105440
Total academic staff,Full-time,Female,Academic (excluding atypical),All,2016/17,56390
Total academic staff,Full-time,Female,Academic (excluding atypical),All,2017/18,57825
Total academic staff,Full-time,Female,Academic (excluding atypical),All,2018/19,59635
Total academic staff,Full-time,Female,Academic (excluding atypical),All,2019/20,61650
Total academic staff,Full-time,Female,Academic (excluding atypical),All,2020/21,63385
Total academic staff,Part-time,Female,Academic (excluding atypical),All,2016/17,38085
Total academic staff,Part-time,Female,Academic (excluding atypical),All,2017/18,39375
Total academic staff,Part-time,Female,Academic (excluding atypical),All,2018/19,40730
Total academic staff,Part-time,Female,Academic (excluding atypical),All,2019/20,42650
Total academic staff,Part-time,Female,Academic (excluding atypical),All,2020/21,42055
Total academic staff,All,Male,Academic (excluding atypical),All,2016/17,112395
Total academic staff,All,Male,Academic (excluding atypical),All,2017/18,114745
Total academic staff,All,Male,Academic (excluding atypical),All,2018/19,116640
Total academic staff,All,Male,Academic (excluding atypical),All,2019/20,118865
Total academic staff,All,Male,Academic (excluding atypical),All,2020/21,118695
Total academic staff,Full-time,Male,Academic (excluding atypical),All,2016/17,82020
Total academic staff,Full-time,Male,Academic (excluding atypical),All,2017/18,82870
Total academic staff,Full-time,Male,Academic (excluding atypical),All,2018/19,83830
Total academic staff,Full-time,Male,Academic (excluding atypical),All,2019/20,84945
Total academic staff,Full-time,Male,Academic (excluding atypical),All,2020/21,85475
Total academic staff,Part-time,Male,Academic (excluding atypical),All,2016/17,30380
Total academic staff,Part-time,Male,Academic (excluding atypical),All,2017/18,31875
Total academic staff,Part-time,Male,Academic (excluding atypical),All,2018/19,32810
Total academic staff,Part-time,Male,Academic (excluding atypical),All,2019/20,33920
Total academic staff,Part-time,Male,Academic (excluding atypical),All,2020/21,33220
Total academic staff,All,Other,Academic (excluding atypical),All,2016/17,0
Total academic staff,All,Other,Academic (excluding atypical),All,2017/18,35
Total academic staff,All,Other,Academic (excluding atypical),All,2018/19,65
Total academic staff,All,Other,Academic (excluding atypical),All,2019/20,355
Total academic staff,All,Other,Academic (excluding atypical),All,2020/21,390
Total academic staff,Full-time,Other,Academic (excluding atypical),All,2016/17,0
Total academic staff,Full-time,Other,Academic (excluding atypical),All,2017/18,30
Total academic staff,Full-time,Other,Academic (excluding atypical),All,2018/19,45
Total academic staff,Full-time,Other,Academic (excluding atypical),All,2019/20,180
Total academic staff,Full-time,Other,Academic (excluding atypical),All,2020/21,220
Total academic staff,Part-time,Other,Academic (excluding atypical),All,2016/17,0
Total academic staff,Part-time,Other,Academic (excluding atypical),All,2017/18,5
Total academic staff,Part-time,Other,Academic (excluding atypical),All,2018/19,15
Total academic staff,Part-time,Other,Academic (excluding atypical),All,2019/20,175
Total academic staff,Part-time,Other,Academic (excluding atypical),All,2020/21,170
Total academic staff,All,All,Academic (excluding atypical),European Union,2016/17,35920
Total academic staff,All,All,Academic (excluding atypical),European Union,2017/18,37255
Total academic staff,All,All,Academic (excluding atypical),European Union,2018/19,38080
Total academic staff,All,All,Academic (excluding atypical),European Union,2019/20,38410
Total academic staff,All,All,Academic (excluding atypical),European Union,2020/21,38230
Total academic staff,Full-time,All,Academic (excluding atypical),European Union,2016/17,27130
Total academic staff,Full-time,All,Academic (excluding atypical),European Union,2017/18,27730
Total academic staff,Full-time,All,Academic (excluding atypical),European Union,2018/19,28055
Total academic staff,Full-time,All,Academic (excluding atypical),European Union,2019/20,28000
Total academic staff,Full-time,All,Academic (excluding atypical),European Union,2020/21,27825
Total academic staff,Part-time,All,Academic (excluding atypical),European Union,2016/17,8790
Total academic staff,Part-time,All,Academic (excluding atypical),European Union,2017/18,9525
Total academic staff,Part-time,All,Academic (excluding atypical),European Union,2018/19,10025
Total academic staff,Part-time,All,Academic (excluding atypical),European Union,2019/20,10410
Total academic staff,Part-time,All,Academic (excluding atypical),European Union,2020/21,10405
Total academic staff,All,Female,Academic (excluding atypical),European Union,2016/17,17295
Total academic staff,All,Female,Academic (excluding atypical),European Union,2017/18,17955
Total academic staff,All,Female,Academic (excluding atypical),European Union,2018/19,18475
Total academic staff,All,Female,Academic (excluding atypical),European Union,2019/20,18830
Total academic staff,All,Female,Academic (excluding atypical),European Union,2020/21,18675
Total academic staff,Full-time,Female,Academic (excluding atypical),European Union,2016/17,12095
Total academic staff,Full-time,Female,Academic (excluding atypical),European Union,2017/18,12470
Total academic staff,Full-time,Female,Academic (excluding atypical),European Union,2018/19,12700
Total academic staff,Full-time,Female,Academic (excluding atypical),European Union,2019/20,12840
Total academic staff,Full-time,Female,Academic (excluding atypical),European Union,2020/21,12775
Total academic staff,Part-time,Female,Academic (excluding atypical),European Union,2016/17,5200
Total academic staff,Part-time,Female,Academic (excluding atypical),European Union,2017/18,5485
Total academic staff,Part-time,Female,Academic (excluding atypical),European Union,2018/19,5775
Total academic staff,Part-time,Female,Academic (excluding atypical),European Union,2019/20,5990
Total academic staff,Part-time,Female,Academic (excluding atypical),European Union,2020/21,5900
Total academic staff,All,Male,Academic (excluding atypical),European Union,2016/17,18625
Total academic staff,All,Male,Academic (excluding atypical),European Union,2017/18,19295
Total academic staff,All,Male,Academic (excluding atypical),European Union,2018/19,19600
Total academic staff,All,Male,Academic (excluding atypical),European Union,2019/20,19515
Total academic staff,All,Male,Academic (excluding atypical),European Union,2020/21,19470
Total academic staff,Full-time,Male,Academic (excluding atypical),European Union,2016/17,15035
Total academic staff,Full-time,Male,Academic (excluding atypical),European Union,2017/18,15250
Total academic staff,Full-time,Male,Academic (excluding atypical),European Union,2018/19,15345
Total academic staff,Full-time,Male,Academic (excluding atypical),European Union,2019/20,15120
Total academic staff,Full-time,Male,Academic (excluding atypical),European Union,2020/21,15005
Total academic staff,Part-time,Male,Academic (excluding atypical),European Union,2016/17,3590
Total academic staff,Part-time,Male,Academic (excluding atypical),European Union,2017/18,4040
Total academic staff,Part-time,Male,Academic (excluding atypical),European Union,2018/19,4250
Total academic staff,Part-time,Male,Academic (excluding atypical),European Union,2019/20,4390
Total academic staff,Part-time,Male,Academic (excluding atypical),European Union,2020/21,4470
Total academic staff,All,Other,Academic (excluding atypical),European Union,2016/17,0
Total academic staff,All,Other,Academic (excluding atypical),European Union,2017/18,5
Total academic staff,All,Other,Academic (excluding atypical),European Union,2018/19,10
Total academic staff,All,Other,Academic (excluding atypical),European Union,2019/20,65
Total academic staff,All,Other,Academic (excluding atypical),European Union,2020/21,85
Total academic staff,Full-time,Other,Academic (excluding atypical),European Union,2016/17,0
Total academic staff,Full-time,Other,Academic (excluding atypical),European Union,2017/18,5
Total academic staff,Full-time,Other,Academic (excluding atypical),European Union,2018/19,10
Total academic staff,Full-time,Other,Academic (excluding atypical),European Union,2019/20,40
Total academic staff,Full-time,Other,Academic (excluding atypical),European Union,2020/21,45
Total academic staff,Part-time,Other,Academic (excluding atypical),European Union,2016/17,0
Total academic staff,Part-time,Other,Academic (excluding atypical),European Union,2017/18,0
Total academic staff,Part-time,Other,Academic (excluding atypical),European Union,2018/19,0
Total academic staff,Part-time,Other,Academic (excluding atypical),European Union,2019/20,25
Total academic staff,Part-time,Other,Academic (excluding atypical),European Union,2020/21,35
Total academic staff,All,All,Academic (excluding atypical),Non-European Union,2016/17,25660
Total academic staff,All,All,Academic (excluding atypical),Non-European Union,2017/18,27625
Total academic staff,All,All,Academic (excluding atypical),Non-European Union,2018/19,29565
Total academic staff,All,All,Academic (excluding atypical),Non-European Union,2019/20,31785
Total academic staff,All,All,Academic (excluding atypical),Non-European Union,2020/21,33270
Total academic staff,Full-time,All,Academic (excluding atypical),Non-European Union,2016/17,20025
Total academic staff,Full-time,All,Academic (excluding atypical),Non-European Union,2017/18,21255
Total academic staff,Full-time,All,Academic (excluding atypical),Non-European Union,2018/19,22795
Total academic staff,Full-time,All,Academic (excluding atypical),Non-European Union,2019/20,24435
Total academic staff,Full-time,All,Academic (excluding atypical),Non-European Union,2020/21,25750
Total academic staff,Part-time,All,Academic (excluding atypical),Non-European Union,2016/17,5630
Total academic staff,Part-time,All,Academic (excluding atypical),Non-European Union,2017/18,6365
Total academic staff,Part-time,All,Academic (excluding atypical),Non-European Union,2018/19,6770
Total academic staff,Part-time,All,Academic (excluding atypical),Non-European Union,2019/20,7350
Total academic staff,Part-time,All,Academic (excluding atypical),Non-European Union,2020/21,7515
Total academic staff,All,Female,Academic (excluding atypical),Non-European Union,2016/17,10575
